municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Itajubá (MG),0.787,0.767,0.718,0.884,Itajubá - MG
Garibaldi (RS),0.786,0.825,0.688,0.856,Garibaldi - RS
Porto União (SC),0.786,0.752,0.724,0.891,Porto União - SC
Lins (SP),0.786,0.762,0.733,0.869,Lins - SP
Pompéia (SP),0.786,0.75,0.748,0.864,Pompéia - SP
Barueri (SP),0.786,0.791,0.708,0.866,Barueri - SP
Monte Aprazível (SP),0.785,0.781,0.72,0.861,Monte Aprazível - SP
Catanduva (SP),0.785,0.767,0.74,0.853,Catanduva - SP
Casca (RS),0.785,0.778,0.733,0.847,Casca - RS
Cuiabá (MT),0.785,0.8,0.726,0.834,Cuiabá - MT
Nova Araçá (RS),0.785,0.796,0.722,0.843,Nova Araçá - RS
Tremembé (SP),0.785,0.769,0.72,0.873,Tremembé - SP
Piracicaba (SP),0.785,0.797,0.717,0.848,Piracicaba - SP
Amparo (SP),0.785,0.78,0.711,0.871,Amparo - SP
Ivoti (RS),0.784,0.78,0.729,0.848,Ivoti - RS
Santa Maria (RS),0.784,0.795,0.715,0.848,Santa Maria - RS
Campo Grande (MS),0.784,0.79,0.724,0.844,Campo Grande - MS
Mogi Mirim (SP),0.784,0.767,0.715,0.879,Mogi Mirim - SP
Jaguariúna (SP),0.784,0.782,0.715,0.862,Jaguariúna - SP
Santa Fé do Sul (SP),0.784,0.763,0.751,0.84,Santa Fé do Sul - SP
Ribeirão Pires (SP),0.784,0.749,0.76,0.847,Ribeirão Pires - SP
Arujá (SP),0.784,0.761,0.73,0.866,Arujá - SP
Salto Veloso (SC),0.784,0.778,0.705,0.88,Salto Veloso - SC
Timbó (SC),0.784,0.807,0.697,0.856,Timbó - SC
Pinhalzinho (SC),0.783,0.758,0.716,0.886,Pinhalzinho - SC
Horizontina (RS),0.783,0.782,0.716,0.858,Horizontina - RS
Mogi das Cruzes (SP),0.783,0.762,0.74,0.851,Mogi das Cruzes - SP
Cascavel (PR),0.782,0.776,0.728,0.846,Cascavel - PR
Caxias do Sul (RS),0.782,0.812,0.686,0.86,Caxias do Sul - RS
Cerquilho (SP),0.782,0.758,0.739,0.854,Cerquilho - SP
São Bento do Sul (SC),0.782,0.763,0.719,0.871,São Bento do Sul - SC
Lavras (MG),0.782,0.757,0.719,0.88,Lavras - MG
Pato Branco (PR),0.782,0.778,0.728,0.845,Pato Branco - PR
Maravilha (SC),0.781,0.758,0.708,0.886,Maravilha - SC
Bombinhas (SC),0.781,0.753,0.732,0.864,Bombinhas - SC
Lacerdópolis (SC),0.781,0.763,0.708,0.883,Lacerdópolis - SC
Santa Bárbara D'Oeste (SP),0.781,0.752,0.731,0.867,Santa Bárbara D'Oeste - SP
Araras (SP),0.781,0.763,0.728,0.859,Araras - SP
Santo Amaro da Imperatriz (SC),0.781,0.753,0.71,0.89,Santo Amaro da Imperatriz - SC
Ijuí (RS),0.781,0.786,0.707,0.858,Ijuí - RS
Águas da Prata (SP),0.781,0.75,0.716,0.886,Águas da Prata - SP
Caieiras (SP),0.781,0.74,0.749,0.861,Caieiras - SP
