municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Peabiru (PR),0.723,0.727,0.629,0.826,Peabiru - PR
Porto Xavier (RS),0.723,0.687,0.628,0.876,Porto Xavier - RS
Seberi (RS),0.723,0.706,0.62,0.865,Seberi - RS
Cruzeiro do Sul (RS),0.723,0.746,0.607,0.833,Cruzeiro do Sul - RS
Águas Mornas (SC),0.723,0.731,0.606,0.853,Águas Mornas - SC
Itapagipe (MG),0.723,0.728,0.603,0.861,Itapagipe - MG
Capinópolis (MG),0.723,0.747,0.601,0.841,Capinópolis - MG
Juruaia (MG),0.723,0.794,0.553,0.86,Juruaia - MG
Erval Velho (SC),0.723,0.736,0.592,0.868,Erval Velho - SC
Pirajuba (MG),0.723,0.748,0.588,0.858,Pirajuba - MG
Vespasiano Correa (RS),0.723,0.758,0.584,0.855,Vespasiano Correa - RS
Perdizes (MG),0.723,0.752,0.571,0.88,Perdizes - MG
Queluz (SP),0.722,0.665,0.687,0.823,Queluz - SP
Iraceminha (SC),0.722,0.71,0.628,0.845,Iraceminha - SC
Palminópolis (GO),0.722,0.718,0.63,0.833,Palminópolis - GO
Alvinlândia (SP),0.722,0.721,0.659,0.791,Alvinlândia - SP
Virmond (PR),0.722,0.708,0.628,0.848,Virmond - PR
São Sebastião do Paraíso (MG),0.722,0.735,0.613,0.836,São Sebastião do Paraíso - MG
Canápolis (MG),0.722,0.721,0.598,0.872,Canápolis - MG
Ouro Fino (MG),0.722,0.703,0.622,0.861,Ouro Fino - MG
Arco-Íris (SP),0.722,0.671,0.694,0.809,Arco-Íris - SP
Califórnia (PR),0.722,0.718,0.638,0.821,Califórnia - PR
Trabiju (SP),0.722,0.666,0.697,0.811,Trabiju - SP
Engenheiro Paulo de Frontin (RJ),0.722,0.674,0.694,0.805,Engenheiro Paulo de Frontin - RJ
Cardoso (SP),0.722,0.695,0.636,0.853,Cardoso - SP
Marmeleiro (PR),0.722,0.73,0.613,0.842,Marmeleiro - PR
Realeza (PR),0.722,0.72,0.63,0.83,Realeza - PR
Palmares Paulista (SP),0.722,0.698,0.645,0.837,Palmares Paulista - SP
Panorama (SP),0.722,0.724,0.639,0.814,Panorama - SP
Nova Esperança (PR),0.722,0.723,0.628,0.829,Nova Esperança - PR
Água Limpa (GO),0.722,0.691,0.663,0.821,Água Limpa - GO
Cosmorama (SP),0.722,0.705,0.63,0.849,Cosmorama - SP
Barão de Cocais (MG),0.722,0.679,0.647,0.858,Barão de Cocais - MG
São Jorge D'Oeste (PR),0.722,0.705,0.656,0.813,São Jorge D'Oeste - PR
Ribeirão dos Índios (SP),0.721,0.661,0.701,0.809,Ribeirão dos Índios - SP
Aparecida D'Oeste (SP),0.721,0.697,0.67,0.804,Aparecida D'Oeste - SP
Pratinha (MG),0.721,0.71,0.607,0.871,Pratinha - MG
Nerópolis (GO),0.721,0.681,0.671,0.82,Nerópolis - GO
Capão Bonito (SP),0.721,0.675,0.671,0.826,Capão Bonito - SP
Monsenhor Paulo (MG),0.721,0.682,0.654,0.839,Monsenhor Paulo - MG
Santa Rita do Sapucaí (MG),0.721,0.727,0.62,0.83,Santa Rita do Sapucaí - MG
Lavínia (SP),0.721,0.698,0.655,0.82,Lavínia - SP
Japaraíba (MG),0.721,0.677,0.656,0.844,Japaraíba - MG
Kaloré (PR),0.721,0.673,0.657,0.848,Kaloré - PR
Curitibanos (SC),0.721,0.716,0.62,0.846,Curitibanos - SC
Parisi (SP),0.721,0.72,0.619,0.842,Parisi - SP
Uraí (PR),0.721,0.698,0.655,0.821,Uraí - PR
Paranaíba (MS),0.721,0.727,0.627,0.823,Paranaíba - MS
Igrejinha (RS),0.721,0.749,0.571,0.876,Igrejinha - RS
Nova Andradina (MS),0.721,0.716,0.616,0.85,Nova Andradina - MS
Altônia (PR),0.721,0.69,0.641,0.848,Altônia - PR
Martinópolis (SP),0.721,0.703,0.641,0.832,Martinópolis - SP
Anhembi (SP),0.721,0.681,0.637,0.863,Anhembi - SP
Glória de Dourados (MS),0.721,0.705,0.648,0.822,Glória de Dourados - MS
Maceió (AL),0.721,0.739,0.635,0.799,Maceió - AL
Piracanjuba (GO),0.721,0.72,0.599,0.87,Piracanjuba - GO
Jaguaruna (SC),0.721,0.719,0.628,0.83,Jaguaruna - SC
Marumbi (PR),0.721,0.705,0.643,0.826,Marumbi - PR
Moema (MG),0.721,0.703,0.629,0.848,Moema - MG
Giruá (RS),0.721,0.707,0.629,0.842,Giruá - RS
Cascalho Rico (MG),0.721,0.734,0.604,0.845,Cascalho Rico - MG
Vacaria (RS),0.721,0.74,0.605,0.838,Vacaria - RS
Rubiácea (SP),0.721,0.684,0.668,0.82,Rubiácea - SP
Alegre (ES),0.721,0.708,0.63,0.839,Alegre - ES
Barreiras (BA),0.721,0.695,0.668,0.807,Barreiras - BA
Ângulo (PR),0.721,0.705,0.644,0.827,Ângulo - PR
Uchoa (SP),0.721,0.708,0.644,0.823,Uchoa - SP
Cambará (PR),0.721,0.711,0.645,0.818,Cambará - PR
Piranhas (GO),0.721,0.699,0.631,0.848,Piranhas - GO
Inhumas (GO),0.72,0.718,0.618,0.842,Inhumas - GO
Lutécia (SP),0.72,0.67,0.659,0.846,Lutécia - SP
Caconde (SP),0.72,0.701,0.62,0.858,Caconde - SP
Verê (PR),0.72,0.709,0.626,0.84,Verê - PR
São João das Duas Pontes (SP),0.72,0.675,0.686,0.806,São João das Duas Pontes - SP
Matias Barbosa (MG),0.72,0.703,0.616,0.862,Matias Barbosa - MG
Pinhal (RS),0.72,0.701,0.624,0.852,Pinhal - RS
Mossoró (RN),0.72,0.694,0.663,0.811,Mossoró - RN
Ivinhema (MS),0.72,0.715,0.615,0.85,Ivinhema - MS
Ourizona (PR),0.72,0.721,0.644,0.803,Ourizona - PR
Timbé do Sul (SC),0.72,0.721,0.606,0.856,Timbé do Sul - SC
Santa Isabel do Ivaí (PR),0.72,0.697,0.656,0.817,Santa Isabel do Ivaí - PR
Icém (SP),0.72,0.716,0.646,0.806,Icém - SP
Paracambi (RJ),0.72,0.689,0.666,0.812,Paracambi - RJ
Paiva (MG),0.72,0.657,0.672,0.845,Paiva - MG
Uniflor (PR),0.72,0.69,0.655,0.826,Uniflor - PR
Itapura (SP),0.72,0.682,0.673,0.813,Itapura - SP
Itapeva (MG),0.72,0.699,0.607,0.878,Itapeva - MG
Boa Esperança (PR),0.72,0.687,0.673,0.808,Boa Esperança - PR
André da Rocha (RS),0.72,0.738,0.605,0.837,André da Rocha - RS
São Valentim (RS),0.72,0.745,0.612,0.82,São Valentim - RS
Palmitinho (RS),0.72,0.707,0.632,0.836,Palmitinho - RS
Cananéia (SP),0.72,0.677,0.649,0.851,Cananéia - SP
Fazenda Rio Grande (PR),0.72,0.713,0.617,0.847,Fazenda Rio Grande - PR
São Bento do Sapucaí (SP),0.72,0.719,0.638,0.812,São Bento do Sapucaí - SP
Passo de Torres (SC),0.72,0.695,0.618,0.869,Passo de Torres - SC
Faxinal do Soturno (RS),0.72,0.732,0.597,0.854,Faxinal do Soturno - RS
Pouso Redondo (SC),0.72,0.728,0.598,0.857,Pouso Redondo - SC
Campina Grande (PB),0.72,0.702,0.654,0.812,Campina Grande - PB
São Simão (GO),0.72,0.756,0.599,0.825,São Simão - GO
Guariba (SP),0.719,0.712,0.645,0.811,Guariba - SP
Barão de Cotegipe (RS),0.719,0.745,0.593,0.842,Barão de Cotegipe - RS
Mamborê (PR),0.719,0.698,0.649,0.821,Mamborê - PR
Platina (SP),0.719,0.691,0.652,0.824,Platina - SP
Alto Horizonte (GO),0.719,0.709,0.624,0.841,Alto Horizonte - GO
Paraibuna (SP),0.719,0.709,0.642,0.815,Paraibuna - SP
Tramandaí (RS),0.719,0.727,0.606,0.842,Tramandaí - RS
Dores do Indaiá (MG),0.719,0.71,0.623,0.84,Dores do Indaiá - MG
Jupiá (SC),0.719,0.708,0.61,0.862,Jupiá - SC
Novais (SP),0.719,0.712,0.634,0.822,Novais - SP
Tupaciguara (MG),0.719,0.711,0.605,0.863,Tupaciguara - MG
São João de Meriti (RJ),0.719,0.693,0.646,0.831,São João de Meriti - RJ
Mombuca (SP),0.719,0.746,0.607,0.82,Mombuca - SP
Caibaté (RS),0.719,0.709,0.611,0.857,Caibaté - RS
Cruzaltense (RS),0.719,0.724,0.605,0.849,Cruzaltense - RS
Itaporanga (SP),0.719,0.681,0.653,0.835,Itaporanga - SP
São José dos Quatro Marcos (MT),0.719,0.707,0.643,0.816,São José dos Quatro Marcos - MT
Gavião Peixoto (SP),0.719,0.687,0.676,0.802,Gavião Peixoto - SP
Itaberaí (GO),0.719,0.735,0.61,0.828,Itaberaí - GO
Rubiataba (GO),0.719,0.686,0.666,0.814,Rubiataba - GO
Angatuba (SP),0.719,0.693,0.648,0.827,Angatuba - SP
Planalto (SP),0.719,0.683,0.639,0.853,Planalto - SP
São Mateus do Sul (PR),0.719,0.711,0.623,0.838,São Mateus do Sul - PR
Salmourão (SP),0.719,0.678,0.649,0.846,Salmourão - SP
Iperó (SP),0.719,0.68,0.672,0.814,Iperó - SP
Ouro Verde de Goiás (GO),0.719,0.672,0.674,0.821,Ouro Verde de Goiás - GO
Coroados (SP),0.719,0.704,0.648,0.816,Coroados - SP
Guaporema (PR),0.719,0.686,0.671,0.808,Guaporema - PR
Guaraçaí (SP),0.719,0.699,0.663,0.803,Guaraçaí - SP
Celso Ramos (SC),0.719,0.651,0.692,0.826,Celso Ramos - SC
Ciríaco (RS),0.719,0.724,0.6,0.855,Ciríaco - RS
Salto do Lontra (PR),0.718,0.707,0.625,0.839,Salto do Lontra - PR
Mandaguaçu (PR),0.718,0.717,0.625,0.825,Mandaguaçu - PR
Fundão (ES),0.718,0.708,0.623,0.839,Fundão - ES
Jaboti (PR),0.718,0.699,0.64,0.827,Jaboti - PR
Praia Grande (SC),0.718,0.692,0.636,0.84,Praia Grande - SC
Tupandi (RS),0.718,0.742,0.597,0.836,Tupandi - RS
Itauçu (GO),0.718,0.697,0.638,0.833,Itauçu - GO
Campina Grande do Sul (PR),0.718,0.712,0.605,0.86,Campina Grande do Sul - PR
Nova Santa Rita (RS),0.718,0.716,0.606,0.853,Nova Santa Rita - RS
Três Cachoeiras (RS),0.718,0.722,0.606,0.847,Três Cachoeiras - RS
Bom Jesus (SC),0.718,0.74,0.606,0.827,Bom Jesus - SC
Tombos (MG),0.718,0.699,0.607,0.871,Tombos - MG
Cidade Gaúcha (PR),0.718,0.712,0.645,0.805,Cidade Gaúcha - PR
Narandiba (SP),0.718,0.659,0.67,0.839,Narandiba - SP
Guará (SP),0.718,0.71,0.63,0.826,Guará - SP
Itaguaru (GO),0.718,0.689,0.648,0.828,Itaguaru - GO
Santo Antônio de Pádua (RJ),0.718,0.709,0.648,0.806,Santo Antônio de Pádua - RJ
Paulistânia (SP),0.718,0.683,0.663,0.817,Paulistânia - SP
Ibiá (MG),0.718,0.736,0.573,0.877,Ibiá - MG
Araruama (RJ),0.718,0.714,0.617,0.839,Araruama - RJ
Cariacica (ES),0.718,0.699,0.628,0.844,Cariacica - ES
Nova Veneza (GO),0.718,0.671,0.66,0.837,Nova Veneza - GO
Santo Antônio da Platina (PR),0.718,0.733,0.617,0.817,Santo Antônio da Platina - PR
Palmeira (PR),0.718,0.725,0.618,0.826,Palmeira - PR
Ananindeua (PA),0.718,0.684,0.658,0.821,Ananindeua - PA
Jussara (PR),0.718,0.716,0.619,0.835,Jussara - PR
Cacoal (RO),0.718,0.727,0.62,0.821,Cacoal - RO
Paial (SC),0.718,0.705,0.62,0.847,Paial - SC
Conquista D'Oeste (MT),0.718,0.707,0.65,0.807,Conquista D'Oeste - MT
Mariápolis (SP),0.718,0.684,0.651,0.83,Mariápolis - SP
Mineiros (GO),0.718,0.753,0.584,0.84,Mineiros - GO
Lagamar (MG),0.718,0.692,0.637,0.839,Lagamar - MG
Vargem Bonita (SC),0.718,0.705,0.656,0.801,Vargem Bonita - SC
Aparecida de Goiânia (GO),0.718,0.716,0.62,0.834,Aparecida de Goiânia - GO
Diamantino (MT),0.718,0.714,0.625,0.831,Diamantino - MT
Dobrada (SP),0.718,0.691,0.655,0.818,Dobrada - SP
Getulina (SP),0.717,0.696,0.652,0.813,Getulina - SP
São José do Herval (RS),0.717,0.701,0.622,0.847,São José do Herval - RS
Itobi (SP),0.717,0.697,0.646,0.82,Itobi - SP
Ocauçu (SP),0.717,0.679,0.653,0.83,Ocauçu - SP
Santa Inês (PR),0.717,0.675,0.659,0.827,Santa Inês - PR
Juatuba (MG),0.717,0.67,0.649,0.849,Juatuba - MG
Santo Antônio da Patrulha (RS),0.717,0.718,0.594,0.866,Santo Antônio da Patrulha - RS
Viamão (RS),0.717,0.72,0.591,0.866,Viamão - RS
Campina do Monte Alegre (SP),0.717,0.687,0.634,0.846,Campina do Monte Alegre - SP
Tigrinhos (SC),0.717,0.688,0.633,0.846,Tigrinhos - SC
São Pedro do Ivaí (PR),0.717,0.702,0.627,0.836,São Pedro do Ivaí - PR
Jaboatão dos Guararapes (PE),0.717,0.692,0.642,0.83,Jaboatão dos Guararapes - PE
Cidade Ocidental (GO),0.717,0.706,0.641,0.814,Cidade Ocidental - GO
Nova Aliança do Ivaí (PR),0.717,0.673,0.691,0.794,Nova Aliança do Ivaí - PR
Paranacity (PR),0.717,0.689,0.638,0.839,Paranacity - PR
Mato Queimado (RS),0.717,0.702,0.603,0.87,Mato Queimado - RS
Guaratuba (PR),0.717,0.737,0.604,0.828,Guaratuba - PR
Fama (MG),0.717,0.7,0.61,0.863,Fama - MG
Piranguinho (MG),0.717,0.672,0.651,0.841,Piranguinho - MG
Paula Freitas (PR),0.717,0.699,0.622,0.847,Paula Freitas - PR
Guatambú (SC),0.717,0.716,0.626,0.823,Guatambú - SC
São José do Alegre (MG),0.717,0.676,0.652,0.837,São José do Alegre - MG
Paranapanema (SP),0.717,0.697,0.631,0.839,Paranapanema - SP
Cruzeiro do Oeste (PR),0.717,0.698,0.64,0.825,Cruzeiro do Oeste - PR
Jacupiranga (SP),0.717,0.687,0.644,0.832,Jacupiranga - SP
Ponte Nova (MG),0.717,0.714,0.608,0.848,Ponte Nova - MG
Eldorado do Sul (RS),0.717,0.717,0.609,0.844,Eldorado do Sul - RS
Engenho Velho (RS),0.717,0.735,0.611,0.821,Engenho Velho - RS
Borrazópolis (PR),0.717,0.695,0.633,0.838,Borrazópolis - PR
Manoel Ribas (PR),0.716,0.725,0.628,0.806,Manoel Ribas - PR
Doutor Pedrinho (SC),0.716,0.714,0.609,0.843,Doutor Pedrinho - SC
Diamantina (MG),0.716,0.693,0.632,0.839,Diamantina - MG
Matupá (MT),0.716,0.706,0.631,0.824,Matupá - MT
Fênix (PR),0.716,0.669,0.665,0.825,Fênix - PR
Bela Vista de Goiás (GO),0.716,0.721,0.607,0.837,Bela Vista de Goiás - GO
Nova Prata do Iguaçu (PR),0.716,0.711,0.646,0.798,Nova Prata do Iguaçu - PR
Paiçandu (PR),0.716,0.697,0.632,0.833,Paiçandu - PR
Davinópolis (GO),0.716,0.702,0.606,0.862,Davinópolis - GO
Goianá (MG),0.716,0.682,0.644,0.835,Goianá - MG
Júlio de Castilhos (RS),0.716,0.733,0.602,0.833,Júlio de Castilhos - RS
Ernestina (RS),0.716,0.703,0.612,0.854,Ernestina - RS
Paulo Lopes (SC),0.716,0.707,0.6,0.865,Paulo Lopes - SC
Júlio Mesquita (SP),0.716,0.659,0.686,0.813,Júlio Mesquita - SP
Piedade (SP),0.716,0.694,0.624,0.848,Piedade - SP
Torixoréu (MT),0.716,0.684,0.666,0.806,Torixoréu - MT
Santo Antônio do Paraíso (PR),0.716,0.683,0.662,0.813,Santo Antônio do Paraíso - PR
Bela Vista do Paraíso (PR),0.716,0.721,0.604,0.844,Bela Vista do Paraíso - PR
Juína (MT),0.716,0.733,0.593,0.845,Juína - MT
Ribeirão Claro (PR),0.716,0.704,0.627,0.832,Ribeirão Claro - PR
Petrolândia (SC),0.716,0.74,0.618,0.802,Petrolândia - SC
Jacinto Machado (SC),0.716,0.708,0.633,0.818,Jacinto Machado - SC
Balneário Barra do Sul (SC),0.716,0.713,0.611,0.844,Balneário Barra do Sul - SC
Campos dos Goytacazes (RJ),0.716,0.715,0.619,0.83,Campos dos Goytacazes - RJ
Taquaral de Goiás (GO),0.716,0.7,0.619,0.846,Taquaral de Goiás - GO
Capitão Leônidas Marques (PR),0.716,0.712,0.623,0.829,Capitão Leônidas Marques - PR
Luís Eduardo Magalhães (BA),0.716,0.754,0.59,0.826,Luís Eduardo Magalhães - BA
Flórida Paulista (SP),0.715,0.702,0.646,0.807,Flórida Paulista - SP
Aguaí (SP),0.715,0.703,0.606,0.858,Aguaí - SP
Itaguaí (RJ),0.715,0.703,0.638,0.814,Itaguaí - RJ
Paraguaçu (MG),0.715,0.69,0.623,0.85,Paraguaçu - MG
Pedregulho (SP),0.715,0.716,0.623,0.82,Pedregulho - SP
Formosa do Sul (SC),0.715,0.728,0.593,0.845,Formosa do Sul - SC
Palmares do Sul (RS),0.715,0.725,0.592,0.852,Palmares do Sul - RS
Pinheiral (RJ),0.715,0.709,0.643,0.801,Pinheiral - RJ
Putinga (RS),0.715,0.745,0.563,0.873,Putinga - RS
Niquelândia (GO),0.715,0.709,0.64,0.806,Niquelândia - GO
Arvoredo (SC),0.715,0.713,0.61,0.842,Arvoredo - SC
Parauapebas (PA),0.715,0.701,0.644,0.809,Parauapebas - PA
Morungaba (SP),0.715,0.726,0.627,0.802,Morungaba - SP
São Gonçalo do Sapucaí (MG),0.715,0.706,0.609,0.85,São Gonçalo do Sapucaí - MG
Rio Brilhante (MS),0.715,0.72,0.59,0.861,Rio Brilhante - MS
Nova Canaã Paulista (SP),0.715,0.673,0.675,0.806,Nova Canaã Paulista - SP
Jacutinga (MG),0.715,0.722,0.586,0.864,Jacutinga - MG
Orizona (GO),0.715,0.722,0.612,0.827,Orizona - GO
Pouso Novo (RS),0.715,0.765,0.566,0.845,Pouso Novo - RS
São Sebastião da Amoreira (PR),0.715,0.689,0.651,0.814,São Sebastião da Amoreira - PR
Nova Serrana (MG),0.715,0.709,0.597,0.864,Nova Serrana - MG
Machado (MG),0.715,0.719,0.6,0.848,Machado - MG
Formoso (GO),0.715,0.686,0.639,0.834,Formoso - GO
Quinta do Sol (PR),0.715,0.689,0.631,0.842,Quinta do Sol - PR
Santa Carmem (MT),0.715,0.703,0.628,0.827,Santa Carmem - MT
São Vicente de Minas (MG),0.715,0.673,0.644,0.845,São Vicente de Minas - MG
Jaguapitã (PR),0.715,0.714,0.615,0.834,Jaguapitã - PR
Santa Luzia (MG),0.715,0.682,0.625,0.859,Santa Luzia - MG
Queiroz (SP),0.715,0.662,0.681,0.811,Queiroz - SP
Severínia (SP),0.715,0.709,0.638,0.807,Severínia - SP
Farol (PR),0.715,0.671,0.665,0.818,Farol - PR
Passa Quatro (MG),0.715,0.683,0.623,0.86,Passa Quatro - MG
Nova Esperança do Sudoeste (PR),0.714,0.714,0.633,0.805,Nova Esperança do Sudoeste - PR
Populina (SP),0.714,0.699,0.647,0.804,Populina - SP
Torre de Pedra (SP),0.714,0.679,0.647,0.829,Torre de Pedra - SP
Santa Teresa (ES),0.714,0.722,0.604,0.834,Santa Teresa - ES
Nova Santa Helena (MT),0.714,0.745,0.603,0.809,Nova Santa Helena - MT
Itaquaquecetuba (SP),0.714,0.665,0.648,0.844,Itaquaquecetuba - SP
Mormaço (RS),0.714,0.735,0.576,0.86,Mormaço - RS
Laranjal (MG),0.714,0.694,0.613,0.857,Laranjal - MG
Sobral (CE),0.714,0.647,0.675,0.832,Sobral - CE
Alta Floresta (MT),0.714,0.709,0.629,0.817,Alta Floresta - MT
Vassouras (RJ),0.714,0.719,0.624,0.813,Vassouras - RJ
Terra Roxa (PR),0.714,0.697,0.639,0.818,Terra Roxa - PR
Santa Rita do Araguaia (GO),0.714,0.703,0.616,0.842,Santa Rita do Araguaia - GO
Tapurah (MT),0.714,0.738,0.594,0.831,Tapurah - MT
Ji-Paraná (RO),0.714,0.728,0.617,0.81,Ji-Paraná - RO
Fátima do Sul (MS),0.714,0.719,0.621,0.815,Fátima do Sul - MS
Ijaci (MG),0.714,0.663,0.654,0.84,Ijaci - MG
Glorinha (RS),0.714,0.716,0.593,0.859,Glorinha - RS
Campo Alegre (SC),0.714,0.677,0.636,0.845,Campo Alegre - SC
Anicuns (GO),0.714,0.695,0.627,0.834,Anicuns - GO
Riqueza (SC),0.714,0.702,0.624,0.83,Riqueza - SC
Avaí (SP),0.714,0.674,0.65,0.83,Avaí - SP
Catanduvas (SC),0.714,0.723,0.625,0.806,Catanduvas - SC
Nantes (SP),0.714,0.655,0.702,0.79,Nantes - SP
Quatiguá (PR),0.714,0.691,0.655,0.803,Quatiguá - PR
Santo Antônio do Jardim (SP),0.714,0.703,0.62,0.835,Santo Antônio do Jardim - SP
Rio Pomba (MG),0.714,0.694,0.609,0.863,Rio Pomba - MG
Juscimeira (MT),0.714,0.678,0.637,0.842,Juscimeira - MT
Perobal (PR),0.713,0.684,0.638,0.83,Perobal - PR
Cruzeiro do Sul (PR),0.713,0.682,0.641,0.828,Cruzeiro do Sul - PR
Nipoã (SP),0.713,0.701,0.636,0.814,Nipoã - SP
Nova Iguaçu (RJ),0.713,0.691,0.641,0.818,Nova Iguaçu - RJ
Itaocara (RJ),0.713,0.696,0.635,0.82,Itaocara - RJ
Carapebus (RJ),0.713,0.699,0.644,0.805,Carapebus - RJ
Cajuru (SP),0.713,0.693,0.633,0.825,Cajuru - SP
Porto Real (RJ),0.713,0.688,0.645,0.817,Porto Real - RJ
Bom Jesus dos Perdões (SP),0.713,0.716,0.631,0.802,Bom Jesus dos Perdões - SP
Miracema (RJ),0.713,0.696,0.646,0.805,Miracema - RJ
Itaí (SP),0.713,0.692,0.63,0.83,Itaí - SP
Canudos do Vale (RS),0.713,0.751,0.574,0.84,Canudos do Vale - RS
Águas de Chapecó (SC),0.713,0.712,0.629,0.811,Águas de Chapecó - SC
Seropédica (RJ),0.713,0.695,0.648,0.805,Seropédica - RJ
Carmo do Rio Verde (GO),0.713,0.677,0.649,0.824,Carmo do Rio Verde - GO
São José das Palmeiras (PR),0.713,0.686,0.627,0.844,São José das Palmeiras - PR
Itaqui (RS),0.713,0.687,0.626,0.843,Itaqui - RS
Carlópolis (PR),0.713,0.696,0.625,0.832,Carlópolis - PR
Florínia (SP),0.713,0.678,0.652,0.82,Florínia - SP
Irapuã (SP),0.713,0.688,0.624,0.844,Irapuã - SP
Guarantã (SP),0.713,0.698,0.623,0.832,Guarantã - SP
Itapecerica (MG),0.713,0.692,0.618,0.846,Itapecerica - MG
Palestina de Goiás (GO),0.713,0.656,0.66,0.837,Palestina de Goiás - GO
Curvelo (MG),0.713,0.689,0.617,0.851,Curvelo - MG
Alto Paraíso de Goiás (GO),0.713,0.723,0.611,0.819,Alto Paraíso de Goiás - GO
Rondon (PR),0.713,0.724,0.61,0.82,Rondon - PR
Santa Fé de Goiás (GO),0.713,0.703,0.608,0.847,Santa Fé de Goiás - GO
Presidente Castelo Branco (PR),0.713,0.695,0.608,0.857,Presidente Castelo Branco - PR
Crato (CE),0.713,0.655,0.673,0.822,Crato - CE
Colíder (MT),0.713,0.732,0.604,0.819,Colíder - MT
Imbuia (SC),0.713,0.716,0.602,0.84,Imbuia - SC
Portão (RS),0.713,0.725,0.584,0.856,Portão - RS
Jardim (MS),0.712,0.718,0.595,0.845,Jardim - MS
Itabuna (BA),0.712,0.695,0.643,0.807,Itabuna - BA
Venâncio Aires (RS),0.712,0.736,0.6,0.818,Venâncio Aires - RS
Jaguari (RS),0.712,0.734,0.567,0.866,Jaguari - RS
Alambari (SP),0.712,0.682,0.658,0.805,Alambari - SP
Eugênio de Castro (RS),0.712,0.697,0.584,0.885,Eugênio de Castro - RS
Uru (SP),0.712,0.678,0.639,0.832,Uru - SP
São Pedro da Aldeia (RJ),0.712,0.721,0.626,0.801,São Pedro da Aldeia - RJ
Conceição de Macabu (RJ),0.712,0.698,0.642,0.806,Conceição de Macabu - RJ
Conceição das Alagoas (MG),0.712,0.734,0.57,0.862,Conceição das Alagoas - MG
Irapuru (SP),0.712,0.691,0.622,0.839,Irapuru - SP
Petrolina de Goiás (GO),0.712,0.674,0.643,0.834,Petrolina de Goiás - GO
Sede Nova (RS),0.712,0.751,0.543,0.886,Sede Nova - RS
Bom Jesus do Oeste (SC),0.712,0.725,0.601,0.83,Bom Jesus do Oeste - SC
Nova Venécia (ES),0.712,0.692,0.621,0.841,Nova Venécia - ES
Ribeirão Bonito (SP),0.712,0.712,0.625,0.811,Ribeirão Bonito - SP
Lindolfo Collor (RS),0.712,0.712,0.601,0.842,Lindolfo Collor - RS
Biritiba-Mirim (SP),0.712,0.71,0.64,0.795,Biritiba-Mirim - SP
Japurá (PR),0.712,0.698,0.623,0.829,Japurá - PR
Erebango (RS),0.712,0.689,0.626,0.837,Erebango - RS
Congonhal (MG),0.712,0.681,0.626,0.847,Congonhal - MG
Planura (MG),0.712,0.711,0.597,0.852,Planura - MG
Vianópolis (GO),0.712,0.71,0.622,0.818,Vianópolis - GO
Tapira (MG),0.712,0.759,0.561,0.847,Tapira - MG
Feira de Santana (BA),0.712,0.71,0.619,0.82,Feira de Santana - BA
Morro Agudo (SP),0.712,0.716,0.604,0.836,Morro Agudo - SP
Crissiumal (RS),0.712,0.702,0.616,0.835,Crissiumal - RS
Santa Vitória do Palmar (RS),0.712,0.709,0.591,0.861,Santa Vitória do Palmar - RS
Barão de Antonina (SP),0.711,0.676,0.649,0.82,Barão de Antonina - SP
Cezarina (GO),0.711,0.684,0.652,0.807,Cezarina - GO
Chiador (MG),0.711,0.742,0.559,0.868,Chiador - MG
Vicentina (MS),0.711,0.689,0.626,0.835,Vicentina - MS
Rio Novo do Sul (ES),0.711,0.692,0.62,0.837,Rio Novo do Sul - ES
Paulicéia (SP),0.711,0.692,0.64,0.811,Paulicéia - SP
Paranaiguara (GO),0.711,0.702,0.613,0.836,Paranaiguara - GO
Igaratá (SP),0.711,0.683,0.616,0.855,Igaratá - SP
Lambari (MG),0.711,0.693,0.596,0.871,Lambari - MG
Duque de Caxias (RJ),0.711,0.692,0.624,0.833,Duque de Caxias - RJ
Piquerobi (SP),0.711,0.669,0.644,0.836,Piquerobi - SP
Varjão de Minas (MG),0.711,0.673,0.631,0.847,Varjão de Minas - MG
Ribeirão Corrente (SP),0.711,0.688,0.642,0.814,Ribeirão Corrente - SP
Medeiros (MG),0.711,0.722,0.584,0.851,Medeiros - MG
Israelândia (GO),0.711,0.664,0.652,0.831,Israelândia - GO
Sapiranga (RS),0.711,0.722,0.598,0.832,Sapiranga - RS
Jaborandi (SP),0.711,0.679,0.627,0.845,Jaborandi - SP
Alcinópolis (MS),0.711,0.733,0.572,0.858,Alcinópolis - MS
Missal (PR),0.711,0.714,0.608,0.828,Missal - PR
Morrinhos do Sul (RS),0.711,0.72,0.593,0.842,Morrinhos do Sul - RS
Campo Belo (MG),0.711,0.706,0.586,0.868,Campo Belo - MG
Glória D'Oeste (MT),0.71,0.684,0.636,0.823,Glória D'Oeste - MT
Pinheirinho do Vale (RS),0.71,0.713,0.607,0.828,Pinheirinho do Vale - RS
Nova Olímpia (PR),0.71,0.699,0.631,0.813,Nova Olímpia - PR
Bataguassu (MS),0.71,0.698,0.606,0.847,Bataguassu - MS
Monte Santo de Minas (MG),0.71,0.689,0.595,0.874,Monte Santo de Minas - MG
Taiaçu (SP),0.71,0.701,0.628,0.814,Taiaçu - SP
Lupionópolis (PR),0.71,0.703,0.595,0.856,Lupionópolis - PR
Alfredo Chaves (ES),0.71,0.703,0.611,0.832,Alfredo Chaves - ES
