cod_municipio,municipio,uf,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,cluster,cluster_nome
3524501,Jaci - SP,SP,2637,90.29199848312476,90.48160788775124,96.8904057641259,93.43,1443.85,90.989097596217,0.723,0.7,0.659,0.818,1,Desenvolvido
3524600,Jacupiranga - SP,SP,5828,69.90391214824983,65.92312971859985,94.61221688400823,94.44,1256.95,65.69547120581475,0.717,0.687,0.644,0.832,4,Em Transição
3524709,Jaguariúna - SP,SP,21443,96.52100918714731,94.26386233269598,99.84144009700135,97.5,2045.01,96.89622053347264,0.784,0.782,0.715,0.862,1,Desenvolvido
3524808,Jales - SP,SP,19080,94.19811320754718,94.4496855345912,96.71383647798744,96.27,2077.24,94.44808922420864,0.776,0.75,0.73,0.855,1,Desenvolvido
3524907,Jambeiro - SP,SP,2297,68.69830213321724,48.93339138006095,97.91031780583369,94.16,1751.77,70.87697358136626,0.756,0.727,0.69,0.86,1,Desenvolvido
3525003,Jandira - SP,SP,42009,99.04544264324312,87.10038325120809,99.9690542502797,96.95,1628.78,100.0,0.76,0.738,0.706,0.841,1,Desenvolvido
3525102,Jardinópolis - SP,SP,14872,94.54679935449168,96.23453469607315,98.74932759548145,96.11,1536.17,93.21143059052162,0.735,0.728,0.64,0.853,1,Desenvolvido
3525201,Jarinu - SP,SP,12965,68.53065946779792,38.904743540300814,99.40609332819128,96.08,1368.78,87.45970427600905,0.733,0.723,0.659,0.826,1,Desenvolvido
3525300,Jaú - SP,SP,48521,97.48562478102264,97.57630716596938,99.38995486490386,96.92,1751.62,98.24490437987372,0.778,0.768,0.693,0.886,1,Desenvolvido
3525409,Jeriquara - SP,SP,1318,88.31562974203338,88.01213960546282,91.42640364188163,94.33,1491.08,88.32513590473725,0.703,0.68,0.628,0.814,1,Desenvolvido
3525508,Joanópolis - SP,SP,4663,73.42912288226464,72.24962470512546,98.79905640145827,93.62,1780.73,72.56340226297307,0.699,0.707,0.585,0.824,1,Desenvolvido
