cod_municipio,municipio,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano
1100015,Alta Floresta D'Oeste - RO,7695,26.484730344379464,0.46783625730994155,61.48148148148148,91.59,1210.6,60.34707360193542
1100023,Ariquemes - RO,34768,54.337321675103546,1.9932121491026231,90.41647491946617,94.08,1458.57,86.6977166874929
1100031,Cabixi - RO,1967,39.29842399593289,1.5760040671072701,61.0574478901881,89.82,1323.79,53.18632031396001
1100049,Cacoal - RO,31917,80.06704890810539,67.18989880001254,85.65654666791993,93.71,1625.88,82.75921599318656
1100056,Cerejeiras - RO,5873,49.48067427209263,57.994210795164314,87.04239741188489,92.15,1554.33,88.83574575204531
1100064,Colorado do Oeste - RO,5991,70.80620931397095,2.6205975630111835,77.24920714404941,90.47,1666.54,74.7557939092128
1100072,Corumbiara - RO,2840,20.985915492957748,0.7042253521126761,47.88732394366197,91.52,1234.62,36.97300172895332
1100080,Costa Marques - RO,4161,19.346310982936792,0.04806536890170632,63.56645037250661,92.92,1088.06,52.82331511839708
1100098,Espigão D'Oeste - RO,10470,44.871060171919765,6.599808978032473,74.28844317096465,92.01,1371.66,72.93125722445095
1100106,Guajará-Mirim - RO,11803,40.46428874015081,9.01465729051936,78.14115055494366,94.16,1035.94,80.57734785589153
1100114,Jaru - RO,18947,46.11811896342429,1.7839235762917613,80.50350979046816,92.39,1406.29,78.68395564428455
1100122,Ji-Paraná - RO,45016,59.954238492980274,7.566198684912032,93.16909543273503,94.37,1437.55,90.87128919916675
1100130,Machadinho D'Oeste - RO,10841,40.3929526796421,3.1270178027857205,56.701411308919845,91.65,1047.39,54.170058944214674
1100148,Nova Brasilândia D'Oeste - RO,5798,36.11590203518455,7.002414625733011,49.499827526733355,91.36,981.78,46.6164933988137
1100155,Ouro Preto do Oeste - RO,13323,56.66141259476094,2.2292276514298583,80.19965473241763,92.81,1389.04,79.0463417418103
1100189,Pimenta Bueno - RO,12351,76.35818962027366,9.440531131082503,85.7663347097401,93.24,1389.7,81.84383819379116
1100205,Porto Velho - RO,151905,36.72229353872486,22.98871004904381,91.90151739574077,95.64,1459.81,92.58634245081814
1100254,Presidente Médici - RO,7230,50.096818810511756,5.214384508990318,67.15076071922545,92.38,1164.63,64.06064055466446
1100262,Rio Crespo - RO,1250,9.92,1.28,43.6,92.17,1244.38,41.428983002016714
1100288,Rolim de Moura - RO,20991,66.36177409365919,3.620599304463818,87.0611214329951,93.5,1446.88,83.79250434350955
1100296,Santa Luzia D'Oeste - RO,2758,33.6113125453227,2.864394488759971,50.725163161711386,90.45,1110.56,43.88731634991239
1100304,Vilhena - RO,34975,92.88348820586133,4.912080057183703,94.7819871336669,95.25,1650.51,94.23261541030136
